UserID,JobID,Event
698,1053272,viewed
698,535105,viewed
698,171400,viewed
698,804823,viewed
698,1113149,viewed
2305,573231,viewed
2305,173609,viewed
2305,758183,viewed
2305,796649,viewed
2305,863240,viewed
3406,681893,viewed
3406,299908,viewed
3406,1061320,viewed
3406,615722,viewed
3406,97771,viewed
4182,871285,viewed
4182,156625,viewed
4182,582282,viewed
4182,970087,viewed
4182,535053,viewed
4768,959395,viewed
4768,479978,viewed
4768,772931,viewed
4768,136804,viewed
4768,898791,viewed
5080,201624,viewed
5080,35995,viewed
5080,523402,viewed
5080,265386,viewed
5080,900555,viewed
5954,268576,viewed
5954,865009,viewed
5954,963081,viewed
5954,212090,viewed
5954,452135,viewed
7834,118994,viewed
7834,796,viewed
7834,300776,viewed
7834,951701,viewed
7834,1104317,viewed
8137,452147,viewed
8137,14391,viewed
8137,1032351,viewed
8137,458789,viewed
8137,222314,viewed
9157,1009301,viewed
9157,54750,viewed
9157,910645,viewed
9157,299233,viewed
9157,330325,viewed
9884,876782,viewed
9884,364686,viewed
9884,279238,viewed
9884,554639,viewed
9884,386591,viewed
10370,512227,viewed
10370,805616,viewed
10370,699311,viewed
10370,229644,viewed
10370,1061320,viewed
11060,680379,viewed
11060,491268,viewed
11060,624167,viewed
11060,749790,viewed
11060,878359,viewed
11400,361259,viewed
11400,384121,viewed
11400,730545,viewed
11400,749238,viewed
11400,364686,viewed
11844,268576,viewed
11844,335353,viewed
11844,854015,viewed
11844,530317,viewed
11844,35995,viewed
13552,846984,viewed
13552,645368,viewed
13552,499497,viewed
13552,55852,viewed
13552,325624,viewed
13614,896947,viewed
13614,617304,viewed
13614,1050684,viewed
13614,703067,viewed
13614,173609,viewed
14674,900555,viewed
14674,11180,viewed
14674,538010,viewed
14674,165417,viewed
14674,512698,viewed
14744,386591,viewed
14744,212316,viewed
14744,278986,viewed
14744,264188,viewed
14744,858054,viewed
15123,1090011,viewed
15123,744827,viewed
15123,580945,viewed
15123,327530,viewed
15123,502883,viewed
18111,201373,viewed
18111,1061328,viewed
18111,242406,viewed
18111,408498,viewed
18111,822285,viewed
20703,1104317,viewed
20703,364686,viewed
20703,95535,viewed
20703,280705,viewed
20703,280059,viewed
21617,373737,viewed
21617,848283,viewed
21617,852994,viewed
21617,568000,viewed
21617,537997,viewed
22473,773851,viewed
22473,212429,viewed
22473,1100678,viewed
22473,683930,viewed
22473,966795,viewed
24751,253658,viewed
24751,15631,viewed
24751,885443,viewed
24751,616332,viewed
24751,1009301,viewed
24848,1115326,viewed
24848,157195,viewed
24848,445423,viewed
24848,343342,viewed
24848,130558,viewed
27699,373544,viewed
27699,323711,viewed
27699,953937,viewed
27699,209212,viewed
27699,237546,viewed
28836,682035,viewed
28836,1113991,viewed
28836,386659,viewed
28836,564171,viewed
28836,681893,viewed
29126,203025,viewed
29126,109963,viewed
29126,110541,viewed
29126,576740,viewed
29126,67025,viewed
30786,876782,viewed
30786,1060652,viewed
30786,502883,viewed
30786,144385,viewed
30786,615721,viewed
32423,523376,viewed
32423,164236,viewed
32423,1011686,viewed
32423,683930,viewed
32423,364686,viewed
34768,739617,viewed
34768,858226,viewed
34768,700645,viewed
34768,636190,viewed
34768,42696,viewed
36829,1104401,viewed
36829,863547,viewed
36829,1090455,viewed
36829,933568,viewed
36829,691506,viewed
37690,339034,viewed
37690,23341,viewed
37690,110541,viewed
37690,1113149,viewed
37690,553165,viewed
37891,644540,viewed
37891,1113149,viewed
37891,709250,viewed
37891,823947,viewed
37891,593572,viewed
38242,23302,viewed
38242,209212,viewed
38242,203220,viewed
38242,1113149,viewed
38242,391842,viewed
38435,26102,viewed
38435,1009302,viewed
38435,223451,viewed
38435,979382,viewed
38435,916744,viewed
39548,950536,viewed
39548,506344,viewed
39548,1072848,viewed
39548,869166,viewed
39548,619923,viewed
39558,110541,viewed
39558,39412,viewed
39558,278240,viewed
39558,720500,viewed
39558,454258,viewed
40059,523371,viewed
40059,661261,viewed
40059,864447,viewed
40059,10593,viewed
40059,550180,viewed
41530,643233,viewed
41530,655858,viewed
41530,478910,viewed
41530,300777,viewed
41530,600837,viewed
41791,1053257,viewed
41791,1104317,viewed
41791,548567,viewed
41791,773851,viewed
41791,616336,viewed
42034,550180,viewed
42034,57807,viewed
42034,900555,viewed
42034,66591,viewed
42034,8315,viewed
42284,980870,viewed
42284,1251,viewed
42284,926642,viewed
42284,268576,viewed
42284,643233,viewed
42587,749238,viewed
42587,59597,viewed
42587,1112827,viewed
42587,391842,viewed
42587,1050685,viewed
42875,791209,viewed
42875,492219,viewed
42875,616106,viewed
42875,702606,viewed
42875,681893,viewed
44288,953937,viewed
44288,561145,viewed
44288,165347,viewed
44288,1027416,viewed
44288,187303,viewed
44505,861085,viewed
44505,837446,viewed
44505,840819,viewed
44505,674938,viewed
44505,431191,viewed
45957,929706,viewed
45957,1015885,viewed
45957,457789,viewed
45957,1050685,viewed
45957,35594,viewed
46716,502883,viewed
46716,1100968,viewed
46716,203169,viewed
46716,896947,viewed
46716,550180,viewed
48368,613940,viewed
48368,1027158,viewed
48368,455371,viewed
48368,339034,viewed
48368,1079086,viewed
52839,805616,viewed
52839,64527,viewed
52839,950500,viewed
52839,430778,viewed
52839,322993,viewed
54902,300775,viewed
54902,83739,viewed
54902,323711,viewed
54902,865009,viewed
54902,212537,viewed
57362,223139,viewed
57362,615722,viewed
57362,384121,viewed
57362,286458,viewed
57362,769390,viewed
57744,628593,viewed
57744,615722,viewed
57744,584318,viewed
57744,158490,viewed
57744,1109223,viewed
57773,300775,viewed
57773,67025,viewed
57773,969928,viewed
57773,896947,viewed
57773,681893,viewed
58363,175495,viewed
58363,278002,viewed
58363,583367,viewed
58363,1032351,viewed
58363,879350,viewed
59593,1014384,viewed
59593,995046,viewed
59593,377337,viewed
59593,83739,viewed
59593,70643,viewed
61403,161267,viewed
61403,615722,viewed
61403,1019160,viewed
61403,77065,viewed
61403,14391,viewed
62729,869749,viewed
62729,1059050,viewed
62729,772931,viewed
62729,209212,viewed
62729,812538,viewed
64557,326544,viewed
64557,538010,viewed
64557,1114157,viewed
64557,152574,viewed
64557,554639,viewed
65047,1053762,viewed
65047,812538,viewed
65047,511755,viewed
65047,300778,viewed
65047,271427,viewed
66137,464597,viewed
66137,638808,viewed
66137,1024421,viewed
66137,523372,viewed
66137,567690,viewed
66239,1030466,viewed
66239,8315,viewed
66239,858967,viewed
66239,896947,viewed
66239,779666,viewed
67804,1113991,viewed
67804,355911,viewed
67804,23488,viewed
67804,1090011,viewed
67804,209212,viewed
68737,391094,viewed
68737,452135,viewed
68737,1049580,viewed
68737,638992,viewed
68737,483050,viewed
71152,915019,viewed
71152,764107,viewed
71152,130558,viewed
71152,695225,viewed
71152,1074763,viewed
71360,966439,viewed
71360,521228,viewed
71360,194852,viewed
71360,616963,viewed
71360,879825,viewed
72056,830713,viewed
72056,933378,viewed
72056,335482,viewed
72056,217461,viewed
72056,362519,viewed
72970,639337,viewed
72970,718454,viewed
72970,262384,viewed
72970,205628,viewed
72970,348541,viewed
74454,615722,viewed
74454,899434,viewed
74454,978505,viewed
74454,1050685,viewed
74454,511755,viewed
75250,1020516,viewed
75250,987665,viewed
75250,579280,viewed
75250,576739,viewed
75250,798380,viewed
75632,467221,viewed
75632,912470,viewed
75632,350101,viewed
75632,631968,viewed
75632,35120,viewed
78945,369009,viewed
78945,204419,viewed
78945,916975,viewed
78945,209212,viewed
78945,40762,viewed
79235,1098275,viewed
79235,240127,viewed
79235,31030,viewed
79235,307625,viewed
79235,23302,viewed
79470,586310,viewed
79470,754116,viewed
79470,83739,viewed
79470,95835,viewed
79470,206198,viewed
81786,600813,viewed
81786,246625,viewed
81786,871285,viewed
81786,708656,viewed
81786,600837,viewed
83658,1030027,viewed
83658,1094639,viewed
83658,23341,viewed
83658,758183,viewed
83658,764269,viewed
84003,209212,viewed
84003,780269,viewed
84003,927668,viewed
84003,597367,viewed
84003,691204,viewed
84604,565900,viewed
84604,965519,viewed
84604,660733,viewed
84604,182661,viewed
84604,705747,viewed
84734,420821,viewed
84734,377336,viewed
84734,377363,viewed
84734,35144,viewed
84734,339034,viewed
85000,883740,viewed
85000,749238,viewed
85000,285438,viewed
85000,600857,viewed
85000,328180,viewed
85312,595723,viewed
85312,584719,viewed
85312,615721,viewed
85312,97441,viewed
85312,1009302,viewed
87197,915019,viewed
87197,616919,viewed
87197,808861,viewed
87197,823603,viewed
87197,16758,viewed
89076,749238,viewed
89076,35120,viewed
89076,563875,viewed
89076,478910,viewed
89076,1106389,viewed
91966,1041748,viewed
91966,280705,viewed
91966,916838,viewed
91966,11180,viewed
91966,212742,viewed
92020,242030,viewed
92020,15326,viewed
92020,899469,viewed
92020,569621,viewed
92020,2250,viewed
92299,14391,viewed
92299,15326,viewed
92299,615640,viewed
92299,879089,viewed
92299,186928,viewed
93835,563876,viewed
93835,512697,viewed
93835,301464,viewed
93835,878359,viewed
93835,979038,viewed
97948,66956,viewed
97948,899434,viewed
97948,300789,viewed
97948,307613,viewed
97948,683930,viewed
99512,448743,viewed
99512,535582,viewed
99512,850483,viewed
99512,1041906,viewed
99512,173609,viewed
101604,820524,viewed
101604,928752,viewed
101604,1107605,viewed
101604,38358,viewed
101604,837446,viewed
103627,14391,viewed
103627,188685,viewed
103627,1042355,viewed
103627,599100,viewed
103627,617464,viewed
104064,482953,viewed
104064,450906,viewed
104064,1050985,viewed
104064,273429,viewed
104064,572536,viewed
104210,879350,viewed
104210,1113991,viewed
104210,980870,viewed
104210,574637,viewed
104210,299233,viewed
106344,1091855,viewed
106344,908126,viewed
106344,685960,viewed
106344,734275,viewed
106344,209212,viewed
106385,941943,viewed
106385,627019,viewed
106385,517805,viewed
106385,17075,viewed
106385,837446,viewed
108039,685006,viewed
108039,1103799,viewed
108039,51962,viewed
108039,134532,viewed
108039,580945,viewed
112091,638246,viewed
112091,384121,viewed
112091,798299,viewed
112091,550180,viewed
112091,196718,viewed
112143,1081649,viewed
112143,701122,viewed
112143,864901,viewed
112143,876956,viewed
112143,308553,viewed
112575,8315,viewed
112575,92481,viewed
112575,6326,viewed
112575,604034,viewed
112575,95535,viewed
114229,23341,viewed
114229,564171,viewed
114229,110541,viewed
114229,896220,viewed
114229,941655,viewed
114293,268416,viewed
114293,744000,viewed
114293,899122,viewed
114293,366852,viewed
114293,1053272,viewed
114950,345355,viewed
114950,300798,viewed
114950,240127,viewed
114950,550180,viewed
114950,775859,viewed
115382,675938,viewed
115382,822229,viewed
115382,537997,viewed
115382,950500,viewed
115382,1050985,viewed
115398,1046820,viewed
115398,101163,viewed
115398,834830,viewed
115398,260701,viewed
115398,926109,viewed
115818,111726,viewed
115818,220759,viewed
115818,523371,viewed
115818,852699,viewed
115818,274142,viewed
116199,970144,viewed
116199,1105640,viewed
116199,901667,viewed
116199,3682,viewed
116199,535582,viewed
120018,23302,viewed
120018,54750,viewed
120018,479988,viewed
120018,658158,viewed
120018,707983,viewed
120803,634454,viewed
120803,1050985,viewed
120803,801550,viewed
120803,572536,viewed
120803,554639,viewed
120895,1053272,viewed
120895,863240,viewed
120895,346317,viewed
120895,959834,viewed
120895,550189,viewed
120929,223451,viewed
120929,16831,viewed
120929,1035977,viewed
120929,458789,viewed
120929,779675,viewed
122036,908371,viewed
122036,83739,viewed
122036,1050985,viewed
122036,212125,viewed
122036,811936,viewed
123147,164236,viewed
123147,997571,viewed
123147,610873,viewed
123147,1053876,viewed
123147,801550,viewed
124346,489323,viewed
124346,346344,viewed
124346,95535,viewed
124346,773851,viewed
124346,39335,viewed
124694,67025,viewed
124694,1106000,viewed
124694,1069062,viewed
124694,299660,viewed
124694,623619,viewed
124796,1050684,viewed
124796,925818,viewed
124796,871285,viewed
124796,865009,viewed
124872,647270,viewed
124872,966795,viewed
124872,35594,viewed
124872,138024,viewed
124872,933378,viewed
125537,823598,viewed
125537,639981,viewed
125537,936738,viewed
125537,534352,viewed
125537,823088,viewed
125663,599092,viewed
125663,851675,viewed
125663,511755,viewed
125663,138024,viewed
125663,67025,viewed
125708,199850,viewed
125708,219991,viewed
125708,938592,viewed
125708,801981,viewed
125708,788041,viewed
126506,334105,viewed
126506,161507,viewed
126506,643233,viewed
126506,950500,viewed
126506,567690,viewed
127064,195613,viewed
127064,505,viewed
127064,1102366,viewed
127064,925554,viewed
127064,59597,viewed
127539,854431,viewed
127539,359815,viewed
127539,1050985,viewed
127539,578522,viewed
127539,600875,viewed
128082,505,viewed
128082,904839,viewed
128082,141740,viewed
128082,820524,viewed
128082,1003005,viewed
128517,328322,viewed
128517,636194,viewed
128517,961414,viewed
128517,314766,viewed
128517,795553,viewed
128938,720314,viewed
128938,212295,viewed
128938,1060030,viewed
128938,300786,viewed
128938,274142,viewed
129590,938592,viewed
129590,1007773,viewed
129590,578522,viewed
129590,234324,viewed
129590,597367,viewed
129806,440386,viewed
129806,812538,viewed
129806,346317,viewed
